Time(s)	GVOL(1,4)
 0.0000000e+00	 1.8253278e-03
 1.0005618e+00	 1.8101088e-03
 2.0000894e+00	 1.8128797e-03
 3.0001235e+00	 1.8135528e-03
 4.0000744e+00	 1.8016505e-03
 5.0000405e+00	 1.8166171e-03
 6.0000234e+00	 1.8077802e-03
 7.0002379e+00	 1.8101232e-03
 8.0000887e+00	 1.8073895e-03
 9.0000124e+00	 1.8054741e-03
 1.0000108e+01	 1.7978202e-03
 1.1000061e+01	 1.8147877e-03
 1.2000055e+01	 1.7932872e-03
 1.3000238e+01	 1.7749139e-03
 1.4000112e+01	 1.7751064e-03
 1.5000147e+01	 1.7930404e-03
 1.6000036e+01	 1.8136031e-03
 1.7000031e+01	 1.8023092e-03
 1.8000051e+01	 1.7788375e-03
 1.9000219e+01	 1.7685052e-03
 2.0000223e+01	 1.7761767e-03
 2.1000031e+01	 1.7933508e-03
 2.2000093e+01	 1.8106212e-03
 2.3000038e+01	 1.7999429e-03
 2.4000010e+01	 1.7860772e-03
 2.5000067e+01	 1.7686640e-03
 2.6000111e+01	 1.7701001e-03
 2.7000292e+01	 1.7884122e-03
 2.8000111e+01	 1.8099155e-03
 2.9000072e+01	 1.8083565e-03
 3.0000034e+01	 1.7826748e-03
 3.1000008e+01	 1.7689392e-03
 3.2000217e+01	 1.7773919e-03
 3.3000145e+01	 1.7959578e-03
 3.4000019e+01	 1.8117926e-03
 3.5000225e+01	 1.7981105e-03
 3.6000263e+01	 1.7807805e-03
 3.7000000e+01	 1.7680081e-03
 3.8000050e+01	 1.7716719e-03
 3.9000404e+01	 1.7909934e-03
 4.0000118e+01	 1.8126047e-03
 4.1000126e+01	 1.8052787e-03
 4.2000221e+01	 1.7805391e-03
 4.3000244e+01	 1.7697380e-03
 4.4000210e+01	 1.7747080e-03
 4.5000088e+01	 1.7909994e-03
 4.6000092e+01	 1.8063013e-03
 4.7000141e+01	 1.8055558e-03
 4.8000240e+01	 1.7895428e-03
 4.9000008e+01	 1.7712815e-03
 5.0000221e+01	 1.7680402e-03
 5.1000072e+01	 1.7812066e-03
 5.2000053e+01	 1.8011490e-03
 5.3000069e+01	 1.8087786e-03
 5.4000187e+01	 1.7942351e-03
 5.5000172e+01	 1.7784983e-03
 5.6000126e+01	 1.7674773e-03
 5.7000072e+01	 1.7701618e-03
 5.8000153e+01	 1.7880264e-03
 5.9000050e+01	 1.8099521e-03
 6.0000069e+01	 1.8044903e-03
 6.1000160e+01	 1.7860278e-03
 6.2000050e+01	 1.7731574e-03
 6.3000099e+01	 1.7727432e-03
 6.4000069e+01	 1.7839528e-03
 6.5000206e+01	 1.8040349e-03
 6.6000069e+01	 1.8076026e-03
 6.7000069e+01	 1.7926958e-03
 6.8000008e+01	 1.7739078e-03
 6.9000237e+01	 1.7672335e-03
 7.0000122e+01	 1.7822278e-03
 7.1000031e+01	 1.8033416e-03
 7.2000282e+01	 1.8085337e-03
 7.3000183e+01	 1.7905165e-03
 7.4000183e+01	 1.7783267e-03
 7.5000305e+01	 1.7697553e-03
 7.6000069e+01	 1.7771593e-03
 7.7000076e+01	 1.7967543e-03
 7.8000130e+01	 1.8123076e-03
 7.9000114e+01	 1.8005266e-03
 8.0000267e+01	 1.7768496e-03
 8.1000061e+01	 1.7672209e-03
 8.2000206e+01	 1.7790797e-03
 8.3000099e+01	 1.7982565e-03
 8.4000252e+01	 1.8080715e-03
 8.5000237e+01	 1.7962805e-03
 8.6000008e+01	 1.7798308e-03
 8.7000046e+01	 1.7710160e-03
 8.8000107e+01	 1.7760391e-03
 8.9000130e+01	 1.7953354e-03
 9.0000092e+01	 1.8118785e-03
 9.1000298e+01	 1.8016386e-03
 9.2000191e+01	 1.7785612e-03
 9.3000099e+01	 1.7668167e-03
 9.4000137e+01	 1.7775297e-03
