Time(s)	USERDEF1(1,1)
 0.0000000e+00	-1.3113022e-06
 1.0005618e+00	 4.6443582e-02
 2.0000894e+00	 4.6906471e-02
 3.0001235e+00	 4.6905160e-02
 4.0000744e+00	 4.6904802e-02
 5.0000405e+00	 4.6906352e-02
 6.0000234e+00	 4.6905875e-02
 7.0002379e+00	 4.6906233e-02
 8.0000887e+00	 4.6905518e-02
 9.0000124e+00	 4.6905756e-02
 1.0000108e+01	 4.6906233e-02
 1.1000061e+01	 4.6906352e-02
 1.2000055e+01	 4.6905041e-02
 1.3000238e+01	 4.6905994e-02
 1.4000112e+01	 4.6904802e-02
 1.5000147e+01	 4.6906114e-02
 1.6000036e+01	 4.6905637e-02
 1.7000031e+01	 4.6905875e-02
 1.8000051e+01	 4.6906233e-02
 1.9000219e+01	 4.6905398e-02
 2.0000223e+01	 4.6906590e-02
 2.1000031e+01	 4.6905398e-02
 2.2000093e+01	 4.6905279e-02
 2.3000038e+01	 4.6905756e-02
 2.4000010e+01	 4.6905994e-02
 2.5000067e+01	 4.6905994e-02
 2.6000111e+01	 4.6905756e-02
 2.7000292e+01	 4.6906352e-02
 2.8000111e+01	 4.6905756e-02
 2.9000072e+01	 4.6905398e-02
 3.0000034e+01	 4.6905756e-02
 3.1000008e+01	 4.6905041e-02
 3.2000217e+01	 4.6905994e-02
 3.3000145e+01	 4.6905994e-02
 3.4000019e+01	 4.6907067e-02
 3.5000225e+01	 4.6906352e-02
 3.6000263e+01	 4.6905518e-02
 3.7000000e+01	 4.6906710e-02
 3.8000050e+01	 4.6905994e-02
 3.9000404e+01	 4.6906114e-02
 4.0000118e+01	 4.6905398e-02
 4.1000126e+01	 4.6905279e-02
 4.2000221e+01	 4.6905637e-02
 4.3000244e+01	 4.6905160e-02
 4.4000210e+01	 4.6906471e-02
 4.5000088e+01	 4.6905279e-02
 4.6000092e+01	 4.6906233e-02
 4.7000141e+01	 4.6905398e-02
 4.8000240e+01	 4.6905279e-02
 4.9000008e+01	 4.6905279e-02
 5.0000221e+01	 4.6904922e-02
 5.1000072e+01	 4.6905875e-02
 5.2000053e+01	 4.6905041e-02
 5.3000069e+01	 4.6905041e-02
 5.4000187e+01	 4.6905398e-02
 5.5000172e+01	 4.6905160e-02
 5.6000126e+01	 4.6905279e-02
 5.7000072e+01	 4.6904683e-02
 5.8000153e+01	 4.6905398e-02
 5.9000050e+01	 4.6905398e-02
 6.0000069e+01	 4.6905279e-02
 6.1000160e+01	 4.6905398e-02
 6.2000050e+01	 4.6904922e-02
 6.3000099e+01	 4.6905756e-02
 6.4000069e+01	 4.6905518e-02
 6.5000206e+01	 4.6905398e-02
 6.6000069e+01	 4.6905279e-02
 6.7000069e+01	 4.6904802e-02
 6.8000008e+01	 4.6905637e-02
 6.9000237e+01	 4.6904922e-02
 7.0000122e+01	 4.6906114e-02
 7.1000031e+01	 4.6905637e-02
 7.2000282e+01	 4.6905398e-02
 7.3000183e+01	 4.6905756e-02
 7.4000183e+01	 4.6905279e-02
 7.5000305e+01	 4.6905756e-02
 7.6000069e+01	 4.6904683e-02
 7.7000076e+01	 4.6905398e-02
 7.8000130e+01	 4.6904564e-02
 7.9000114e+01	 4.6904683e-02
 8.0000267e+01	 4.6905637e-02
 8.1000061e+01	 4.6904802e-02
 8.2000206e+01	 4.6905875e-02
 8.3000099e+01	 4.6905398e-02
 8.4000252e+01	 4.6906352e-02
 8.5000237e+01	 4.6905279e-02
 8.6000008e+01	 4.6904922e-02
 8.7000046e+01	 4.6904683e-02
 8.8000107e+01	 4.6905160e-02
 8.9000130e+01	 4.6906114e-02
 9.0000092e+01	 4.6904922e-02
 9.1000298e+01	 4.6904683e-02
 9.2000191e+01	 4.6905160e-02
 9.3000099e+01	 4.6904087e-02
 9.4000137e+01	 4.6905279e-02
 9.5000000e+01	 4.6905041e-02
 9.6000092e+01	 4.6904683e-02
 9.7000175e+01	 4.6904683e-02
 9.8000183e+01	 4.6904683e-02
 9.9000107e+01	 4.6905279e-02
 1.0000025e+02	 4.6904564e-02
 1.0100002e+02	 4.6904922e-02
 1.0200014e+02	 4.6904922e-02
 1.0300003e+02	 4.6904802e-02
 1.0400006e+02	 4.6904564e-02
 1.0500019e+02	 4.6904206e-02
 1.0600016e+02	 4.6904683e-02
 1.0700005e+02	 4.6904445e-02
 1.0800005e+02	 4.6905518e-02
 1.0900005e+02	 4.6905279e-02
 1.1000010e+02	 4.6904683e-02
 1.1100005e+02	 4.6904802e-02
 1.1200005e+02	 4.6904683e-02
 1.1300011e+02	 4.6905518e-02
 1.1400004e+02	 4.6904683e-02
 1.1500005e+02	 4.6905756e-02
 1.1600015e+02	 4.6905875e-02
 1.1700007e+02	 4.6905756e-02
 1.1800004e+02	 4.6906471e-02
 1.1900003e+02	 4.6904325e-02
 1.2000007e+02	 4.6906233e-02
 1.2100005e+02	 4.6905279e-02
 1.2200008e+02	 4.6905279e-02
 1.2300022e+02	 4.6905994e-02
 1.2400007e+02	 4.6905279e-02
 1.2500008e+02	 4.6905398e-02
 1.2600005e+02	 4.6905398e-02
 1.2700005e+02	 4.6904802e-02
 1.2800008e+02	 4.6904922e-02
 1.2900026e+02	 4.6904802e-02
 1.3000006e+02	 4.6905160e-02
 1.3100023e+02	 4.6904325e-02
 1.3200002e+02	 4.6905279e-02
 1.3300009e+02	 4.6905398e-02
 1.3400003e+02	 4.6905398e-02
 1.3500020e+02	 4.6905875e-02
 1.3600014e+02	 4.6904922e-02
 1.3700008e+02	 4.6905398e-02
 1.3800002e+02	 4.6904564e-02
 1.3900027e+02	 4.6905160e-02
 1.4000012e+02	 4.6904922e-02
 1.4100006e+02	 4.6904325e-02
 1.4200020e+02	 4.6905041e-02
 1.4300023e+02	 4.6904922e-02
 1.4400017e+02	 4.6905518e-02
 1.4500008e+02	 4.6905756e-02
 1.4600002e+02	 4.6905160e-02
 1.4700005e+02	 4.6905518e-02
 1.4800018e+02	 4.6905398e-02
 1.4900020e+02	 4.6905756e-02
 1.5000011e+02	 4.6904922e-02
 1.5100027e+02	 4.6905398e-02
 1.5200009e+02	 4.6905637e-02
 1.5300018e+02	 4.6904922e-02
 1.5400015e+02	 4.6905637e-02
 1.5500002e+02	 4.6905756e-02
 1.5600008e+02	 4.6905518e-02
 1.5700009e+02	 4.6905041e-02
 1.5800018e+02	 4.6905994e-02
 1.5900018e+02	 4.6905160e-02
 1.6000003e+02	 4.6904206e-02
 1.6100005e+02	 4.6904445e-02
 1.6200008e+02	 4.6904325e-02
 1.6300006e+02	 4.6904802e-02
 1.6400012e+02	 4.6905160e-02
 1.6410002e+02	 4.8434377e-02
 1.6420000e+02	 5.0164938e-02
 1.6430002e+02	 5.0611019e-02
 1.6440001e+02	 5.0636530e-02
 1.6450003e+02	 5.0656796e-02
 1.6460002e+02	 5.0677419e-02
 1.6470001e+02	 5.0725222e-02
 1.6480003e+02	 5.0773859e-02
 1.6490002e+02	 5.0812602e-02
 1.6500003e+02	 5.0835609e-02
 1.6510007e+02	 5.0844669e-02
 1.6520001e+02	 5.0850511e-02
 1.6530002e+02	 5.0856709e-02
 1.6540002e+02	 5.0881624e-02
 1.6550002e+02	 5.0899506e-02
 1.6560004e+02	 5.0904512e-02
 1.6570004e+02	 5.0917387e-02
 1.6580003e+02	 5.0927639e-02
 1.6590004e+02	 5.0937772e-02
 1.6600005e+02	 5.0952554e-02
 1.6610001e+02	 5.0964236e-02
 1.6620007e+02	 5.0974011e-02
 1.6630000e+02	 5.0981283e-02
 1.6640010e+02	 5.0987005e-02
 1.6650000e+02	 5.0991058e-02
 1.6660007e+02	 5.0992966e-02
 1.6670003e+02	 5.0998449e-02
 1.6680000e+02	 5.1003814e-02
 1.6690005e+02	 5.1017642e-02
 1.6700006e+02	 5.1028609e-02
 1.6710001e+02	 5.1033616e-02
 1.6720006e+02	 5.1037788e-02
 1.6730003e+02	 5.1041126e-02
 1.6740001e+02	 5.1045418e-02
 1.6750000e+02	 5.1046968e-02
 1.6760002e+02	 5.1049590e-02
 1.6770000e+02	 5.1052213e-02
 1.6780000e+02	 5.1055431e-02
 1.6790001e+02	 5.1057696e-02
 1.6800005e+02	 5.1058531e-02
 1.6810002e+02	 5.1061511e-02
 1.6820003e+02	 5.1061749e-02
 1.6830003e+02	 5.1063418e-02
 1.6840002e+02	 5.1064610e-02
 1.6850000e+02	 5.1066637e-02
 1.6860008e+02	 5.1067829e-02
 1.6870001e+02	 5.1068783e-02
 1.6880006e+02	 5.1069260e-02
 1.6890001e+02	 5.1069736e-02
 1.6900002e+02	 5.1071405e-02
 1.6910005e+02	 5.1070929e-02
 1.6920010e+02	 5.1072955e-02
 1.6930003e+02	 5.1073551e-02
 1.6940005e+02	 5.1073551e-02
 1.6950003e+02	 5.1074266e-02
 1.6960005e+02	 5.1076531e-02
 1.6970004e+02	 5.1076174e-02
 1.6980008e+02	 5.1077485e-02
 1.6990001e+02	 5.1078200e-02
