Time(s)	MASF(1,9)
 0.0000000e+00	 1.2010653e-22
 1.0005618e+00	 1.2010653e-22
 2.0000894e+00	 6.7611043e-17
 3.0001235e+00	 1.0041067e-16
 4.0000744e+00	 1.0478027e-16
 5.0000405e+00	 1.2400503e-16
 6.0000234e+00	 1.3704314e-16
 7.0002379e+00	 1.4598150e-16
 8.0000887e+00	 1.6392228e-16
 9.0000124e+00	 1.7653969e-16
 1.0000108e+01	 1.8010374e-16
 1.1000061e+01	 1.8295081e-16
 1.2000055e+01	 1.9260019e-16
 1.3000238e+01	 1.9928969e-16
 1.4000112e+01	 2.0329932e-16
 1.5000147e+01	 2.0871842e-16
 1.6000036e+01	 2.1391153e-16
 1.7000031e+01	 2.2035947e-16
 1.8000051e+01	 2.2509774e-16
 1.9000219e+01	 2.2965538e-16
 2.0000223e+01	 2.3423627e-16
 2.1000031e+01	 2.3894871e-16
 2.2000093e+01	 2.4265961e-16
 2.3000038e+01	 2.4698083e-16
 2.4000010e+01	 2.5153001e-16
 2.5000067e+01	 2.5461652e-16
 2.6000111e+01	 2.5719126e-16
 2.7000292e+01	 2.6078694e-16
 2.8000111e+01	 2.6420821e-16
 2.9000072e+01	 2.6792891e-16
 3.0000034e+01	 2.7101163e-16
 3.1000008e+01	 2.7578191e-16
 3.2000217e+01	 2.7824746e-16
 3.3000145e+01	 2.8125287e-16
 3.4000019e+01	 2.8501825e-16
 3.5000225e+01	 2.8915119e-16
 3.6000263e+01	 2.9187101e-16
 3.7000000e+01	 2.9426690e-16
 3.8000050e+01	 2.9731431e-16
 3.9000404e+01	 3.0058433e-16
 4.0000118e+01	 3.0465745e-16
 4.1000126e+01	 3.0860015e-16
 4.2000221e+01	 3.1229395e-16
 4.3000244e+01	 3.1509626e-16
 4.4000210e+01	 3.1718594e-16
 4.5000088e+01	 3.1998700e-16
 4.6000092e+01	 3.2265142e-16
 4.7000141e+01	 3.2597878e-16
 4.8000240e+01	 3.2935825e-16
 4.9000008e+01	 3.3225291e-16
 5.0000221e+01	 3.3495394e-16
 5.1000072e+01	 3.3750277e-16
 5.2000053e+01	 3.4099691e-16
 5.3000069e+01	 3.4435344e-16
 5.4000187e+01	 3.4812300e-16
 5.5000172e+01	 3.5062622e-16
 5.6000126e+01	 3.5330149e-16
 5.7000072e+01	 3.5586056e-16
 5.8000153e+01	 3.5878603e-16
 5.9000050e+01	 3.6235119e-16
 6.0000069e+01	 3.6487262e-16
 6.1000160e+01	 3.6784830e-16
 6.2000050e+01	 3.7033686e-16
