Time(s)	MASFPG(1,8)
 0.0000000e+00	 1.6753958e-03
 1.0005618e+00	 1.6906511e-03
 2.0000894e+00	 1.7273121e-03
 3.0001235e+00	 1.7636637e-03
 4.0000744e+00	 1.8130620e-03
 5.0000405e+00	 1.8331732e-03
 6.0000234e+00	 1.8414625e-03
 7.0002379e+00	 1.8439478e-03
 8.0000887e+00	 1.8484904e-03
 9.0000124e+00	 1.8500410e-03
 1.0000108e+01	 1.8472327e-03
 1.1000061e+01	 1.8423995e-03
 1.2000055e+01	 1.8396440e-03
 1.3000238e+01	 1.8366231e-03
 1.4000112e+01	 1.8335202e-03
 1.5000147e+01	 1.8306328e-03
 1.6000036e+01	 1.8280948e-03
 1.7000031e+01	 1.8261715e-03
 1.8000051e+01	 1.8236350e-03
 1.9000219e+01	 1.8212450e-03
 2.0000223e+01	 1.8188257e-03
 2.1000031e+01	 1.8166982e-03
 2.2000093e+01	 1.8143916e-03
 2.3000038e+01	 1.8123611e-03
 2.4000010e+01	 1.8104482e-03
 2.5000067e+01	 1.8086757e-03
 2.6000111e+01	 1.8064809e-03
 2.7000292e+01	 1.8047298e-03
 2.8000111e+01	 1.8031721e-03
 2.9000072e+01	 1.8017342e-03
 3.0000034e+01	 1.8003237e-03
 3.1000008e+01	 1.7990454e-03
 3.2000217e+01	 1.7976600e-03
 3.3000145e+01	 1.7960813e-03
 3.4000019e+01	 1.7946993e-03
 3.5000225e+01	 1.7934506e-03
 3.6000263e+01	 1.7918532e-03
 3.7000000e+01	 1.7901557e-03
 3.8000050e+01	 1.7884580e-03
 3.9000404e+01	 1.7872400e-03
 4.0000118e+01	 1.7864490e-03
 4.1000126e+01	 1.7854400e-03
 4.2000221e+01	 1.7845717e-03
 4.3000244e+01	 1.7833411e-03
 4.4000210e+01	 1.7818739e-03
 4.5000088e+01	 1.7802755e-03
 4.6000092e+01	 1.7786522e-03
 4.7000141e+01	 1.7775061e-03
 4.8000240e+01	 1.7760613e-03
 4.9000008e+01	 1.7746682e-03
 5.0000221e+01	 1.7734481e-03
 5.1000072e+01	 1.7721178e-03
 5.2000053e+01	 1.7710285e-03
 5.3000069e+01	 1.7700417e-03
 5.4000187e+01	 1.7692778e-03
 5.5000172e+01	 1.7683688e-03
 5.6000126e+01	 1.7671521e-03
 5.7000072e+01	 1.7659741e-03
 5.8000153e+01	 1.7650498e-03
 5.9000050e+01	 1.7642496e-03
 6.0000069e+01	 1.7633577e-03
 6.1000160e+01	 1.7623203e-03
 6.2000050e+01	 1.7611914e-03
 6.3000099e+01	 1.7602592e-03
 6.4000069e+01	 1.7594792e-03
 6.5000206e+01	 1.7585321e-03
 6.6000069e+01	 1.7578023e-03
 6.7000069e+01	 1.7570312e-03
 6.8000008e+01	 1.7562837e-03
 6.9000237e+01	 1.7555540e-03
 7.0000122e+01	 1.7546909e-03
 7.1000031e+01	 1.7539924e-03
 7.2000282e+01	 1.7532350e-03
 7.3000183e+01	 1.7523129e-03
 7.4000183e+01	 1.7513110e-03
 7.5000305e+01	 1.7502160e-03
 7.6000069e+01	 1.7491208e-03
 7.7000076e+01	 1.7480365e-03
 7.8000130e+01	 1.7473483e-03
 7.9000114e+01	 1.7466043e-03
 8.0000267e+01	 1.7458536e-03
 8.1000061e+01	 1.7450845e-03
 8.2000206e+01	 1.7441157e-03
 8.3000099e+01	 1.7433752e-03
 8.4000252e+01	 1.7425842e-03
 8.5000237e+01	 1.7414700e-03
 8.6000008e+01	 1.7402096e-03
 8.7000046e+01	 1.7393826e-03
 8.8000107e+01	 1.7387221e-03
 8.9000130e+01	 1.7378974e-03
 9.0000092e+01	 1.7370704e-03
 9.1000298e+01	 1.7363176e-03
 9.2000191e+01	 1.7354242e-03
 9.3000099e+01	 1.7345579e-03
 9.4000137e+01	 1.7337895e-03
 9.5000000e+01	 1.7332738e-03
 9.6000092e+01	 1.7327662e-03
 9.7000175e+01	 1.7324941e-03
 9.8000183e+01	 1.7321790e-03
 9.9000107e+01	 1.7316367e-03
 1.0000025e+02	 1.7311953e-03
 1.0100002e+02	 1.7307969e-03
 1.0200014e+02	 1.7304124e-03
 1.0300003e+02	 1.7298025e-03
 1.0400006e+02	 1.7293007e-03
 1.0500019e+02	 1.7287787e-03
 1.0600016e+02	 1.7284246e-03
 1.0700005e+02	 1.7280689e-03
 1.0800005e+02	 1.7274736e-03
 1.0900005e+02	 1.7270149e-03
 1.1000010e+02	 1.7265410e-03
 1.1100005e+02	 1.7261021e-03
 1.1200005e+02	 1.7255689e-03
 1.1300011e+02	 1.7250954e-03
 1.1400004e+02	 1.7247036e-03
 1.1500005e+02	 1.7241064e-03
 1.1600015e+02	 1.7236369e-03
 1.1700007e+02	 1.7231867e-03
 1.1800004e+02	 1.7226909e-03
 1.1900003e+02	 1.7221685e-03
 1.2000007e+02	 1.7216170e-03
 1.2100005e+02	 1.7210965e-03
 1.2200008e+02	 1.7206223e-03
 1.2300022e+02	 1.7201497e-03
 1.2400007e+02	 1.7196472e-03
 1.2500008e+02	 1.7191416e-03
