Time(s)	MASN(1,10)
 0.0000000e+00	 1.0733231e-24
 1.0005618e+00	 3.8002512e-09
 2.0000894e+00	 4.1592956e-09
 3.0001235e+00	 4.1140100e-09
 4.0000744e+00	 4.1791850e-09
 5.0000405e+00	 4.2793089e-09
 6.0000234e+00	 4.4000159e-09
 7.0002379e+00	 4.5137094e-09
 8.0000887e+00	 4.6202406e-09
 9.0000124e+00	 4.7216959e-09
 1.0000108e+01	 4.8221418e-09
 1.1000061e+01	 4.9226396e-09
 1.2000055e+01	 5.0225308e-09
 1.3000238e+01	 5.1208993e-09
 1.4000112e+01	 5.2170157e-09
 1.5000147e+01	 5.3104956e-09
 1.6000036e+01	 5.4009948e-09
 1.7000031e+01	 5.4883889e-09
 1.8000051e+01	 5.5726619e-09
 1.9000219e+01	 5.6538778e-09
 2.0000223e+01	 5.7321197e-09
 2.1000031e+01	 5.8075118e-09
 2.2000093e+01	 5.8801350e-09
 2.3000038e+01	 5.9489809e-09
 2.4000010e+01	 6.0114664e-09
 2.5000067e+01	 6.0708474e-09
 2.6000111e+01	 6.1282193e-09
 2.7000292e+01	 6.1842220e-09
 2.8000111e+01	 6.2396039e-09
 2.9000072e+01	 6.2953123e-09
 3.0000034e+01	 6.3521899e-09
 3.1000008e+01	 6.4109282e-09
 3.2000217e+01	 6.4719892e-09
 3.3000145e+01	 6.5367010e-09
 3.4000019e+01	 6.6084023e-09
 3.5000225e+01	 6.6887234e-09
 3.6000263e+01	 6.7791985e-09
 3.7000000e+01	 6.8811992e-09
 3.8000050e+01	 6.9959771e-09
 3.9000404e+01	 7.1262467e-09
 4.0000118e+01	 7.2741333e-09
 4.1000126e+01	 7.4359816e-09
 4.2000221e+01	 7.6129103e-09
 4.3000244e+01	 7.8022593e-09
 4.4000210e+01	 8.0024067e-09
 4.5000088e+01	 8.2121145e-09
 4.6000092e+01	 8.4303036e-09
 4.7000141e+01	 8.6559169e-09
 4.8000240e+01	 8.8879109e-09
 4.9000008e+01	 9.1250207e-09
 5.0000221e+01	 9.3665324e-09
 5.1000072e+01	 9.6143227e-09
 5.2000053e+01	 9.8703135e-09
 5.3000069e+01	 1.0128519e-08
 5.4000187e+01	 1.0388394e-08
 5.5000172e+01	 1.0649345e-08
 5.6000126e+01	 1.0910912e-08
 5.7000072e+01	 1.1172684e-08
 5.8000153e+01	 1.1435310e-08
 5.9000050e+01	 1.1698818e-08
 6.0000069e+01	 1.1962935e-08
 6.1000160e+01	 1.2227266e-08
 6.2000050e+01	 1.2491423e-08
 6.3000099e+01	 1.2755220e-08
 6.4000069e+01	 1.3018330e-08
 6.5000206e+01	 1.3280605e-08
 6.6000069e+01	 1.3541704e-08
 6.7000069e+01	 1.3801572e-08
 6.8000008e+01	 1.4060006e-08
 6.9000237e+01	 1.4316968e-08
 7.0000122e+01	 1.4572222e-08
 7.1000031e+01	 1.4825768e-08
 7.2000282e+01	 1.5077672e-08
 7.3000183e+01	 1.5327739e-08
 7.4000183e+01	 1.5576104e-08
 7.5000305e+01	 1.5822801e-08
 7.6000069e+01	 1.6067728e-08
 7.7000076e+01	 1.6311080e-08
 7.8000130e+01	 1.6552702e-08
 7.9000114e+01	 1.6791683e-08
 8.0000267e+01	 1.7027881e-08
 8.1000061e+01	 1.7261131e-08
 8.2000206e+01	 1.7491592e-08
 8.3000099e+01	 1.7719081e-08
 8.4000252e+01	 1.7943707e-08
 8.5000237e+01	 1.8165329e-08
 8.6000008e+01	 1.8383876e-08
 8.7000046e+01	 1.8599424e-08
 8.8000107e+01	 1.8811837e-08
 8.9000130e+01	 1.9021090e-08
 9.0000092e+01	 1.9227150e-08
 9.1000298e+01	 1.9430107e-08
 9.2000191e+01	 1.9629841e-08
 9.3000099e+01	 1.9826469e-08
