Time(s)	TMPF(1,4)
 0.0000000e+00	 3.0279160e-05
 1.0005618e+00	 6.0245032e+02
 2.0000894e+00	 6.0269647e+02
 3.0001235e+00	 6.0236987e+02
 4.0000744e+00	 6.0262201e+02
 5.0000405e+00	 6.0267590e+02
 6.0000234e+00	 6.0268634e+02
 7.0002379e+00	 6.0275641e+02
 8.0000887e+00	 6.0273126e+02
 9.0000124e+00	 6.0268994e+02
 1.0000108e+01	 6.0233453e+02
 1.1000061e+01	 6.0232129e+02
 1.2000055e+01	 6.0236017e+02
 1.3000238e+01	 6.0248065e+02
 1.4000112e+01	 6.0240198e+02
 1.5000147e+01	 6.0246704e+02
 1.6000036e+01	 6.0244464e+02
 1.7000031e+01	 6.0242456e+02
 1.8000051e+01	 6.0246710e+02
 1.9000219e+01	 6.0244635e+02
 2.0000223e+01	 6.0247119e+02
 2.1000031e+01	 6.0245679e+02
 2.2000093e+01	 6.0246796e+02
 2.3000038e+01	 6.0247363e+02
 2.4000010e+01	 6.0246857e+02
 2.5000067e+01	 6.0248260e+02
 2.6000111e+01	 6.0248340e+02
 2.7000292e+01	 6.0249292e+02
 2.8000111e+01	 6.0248822e+02
 2.9000072e+01	 6.0249426e+02
 3.0000034e+01	 6.0250336e+02
 3.1000008e+01	 6.0250427e+02
 3.2000217e+01	 6.0251227e+02
 3.3000145e+01	 6.0250854e+02
 3.4000019e+01	 6.0252087e+02
 3.5000225e+01	 6.0251807e+02
 3.6000263e+01	 6.0252460e+02
 3.7000000e+01	 6.0252954e+02
 3.8000050e+01	 6.0253387e+02
 3.9000404e+01	 6.0254041e+02
 4.0000118e+01	 6.0253186e+02
 4.1000126e+01	 6.0254053e+02
 4.2000221e+01	 6.0254889e+02
 4.3000244e+01	 6.0255212e+02
 4.4000210e+01	 6.0255676e+02
 4.5000088e+01	 6.0255817e+02
 4.6000092e+01	 6.0256586e+02
 4.7000141e+01	 6.0256317e+02
 4.8000240e+01	 6.0256982e+02
 4.9000008e+01	 6.0257428e+02
 5.0000221e+01	 6.0257959e+02
 5.1000072e+01	 6.0258313e+02
 5.2000053e+01	 6.0258331e+02
 5.3000069e+01	 6.0259222e+02
 5.4000187e+01	 6.0259344e+02
 5.5000172e+01	 6.0260004e+02
 5.6000126e+01	 6.0260278e+02
 5.7000072e+01	 6.0260809e+02
 5.8000153e+01	 6.0261194e+02
 5.9000050e+01	 6.0260974e+02
 6.0000069e+01	 6.0262067e+02
 6.1000160e+01	 6.0262109e+02
 6.2000050e+01	 6.0262543e+02
 6.3000099e+01	 6.0262830e+02
 6.4000069e+01	 6.0263171e+02
 6.5000206e+01	 6.0263660e+02
 6.6000069e+01	 6.0263477e+02
 6.7000069e+01	 6.0264014e+02
 6.8000008e+01	 6.0264294e+02
