Time(s)	TMPG(1,4)
 0.0000000e+00	 4.4000000e+02
 1.0005618e+00	 4.4904526e+02
 2.0000894e+00	 4.7539117e+02
 3.0001235e+00	 5.0414099e+02
 4.0000744e+00	 5.4590857e+02
 5.0000405e+00	 5.6586304e+02
 6.0000234e+00	 5.7496423e+02
 7.0002379e+00	 5.7925470e+02
 8.0000887e+00	 5.8534729e+02
 9.0000124e+00	 5.8859436e+02
 1.0000108e+01	 5.8840210e+02
 1.1000061e+01	 5.8793866e+02
 1.2000055e+01	 5.8919104e+02
 1.3000238e+01	 5.8990973e+02
 1.4000112e+01	 5.9004877e+02
 1.5000147e+01	 5.9060413e+02
 1.6000036e+01	 5.9109314e+02
 1.7000031e+01	 5.9174561e+02
 1.8000051e+01	 5.9209363e+02
 1.9000219e+01	 5.9229260e+02
 2.0000223e+01	 5.9259735e+02
 2.1000031e+01	 5.9285071e+02
 2.2000093e+01	 5.9291754e+02
 2.3000038e+01	 5.9314948e+02
 2.4000010e+01	 5.9342487e+02
 2.5000067e+01	 5.9337878e+02
 2.6000111e+01	 5.9320190e+02
 2.7000292e+01	 5.9343213e+02
 2.8000111e+01	 5.9364807e+02
 2.9000072e+01	 5.9386755e+02
 3.0000034e+01	 5.9395831e+02
 3.1000008e+01	 5.9431952e+02
 3.2000217e+01	 5.9428564e+02
 3.3000145e+01	 5.9437384e+02
 3.4000019e+01	 5.9458221e+02
 3.5000225e+01	 5.9480975e+02
 3.6000263e+01	 5.9474023e+02
 3.7000000e+01	 5.9459631e+02
 3.8000050e+01	 5.9466296e+02
 3.9000404e+01	 5.9485632e+02
 4.0000118e+01	 5.9526917e+02
 4.1000126e+01	 5.9554102e+02
 4.2000221e+01	 5.9581818e+02
 4.3000244e+01	 5.9577875e+02
 4.4000210e+01	 5.9568213e+02
 4.5000088e+01	 5.9568860e+02
 4.6000092e+01	 5.9560583e+02
 4.7000141e+01	 5.9578766e+02
 4.8000240e+01	 5.9580695e+02
 4.9000008e+01	 5.9582758e+02
 5.0000221e+01	 5.9584320e+02
 5.1000072e+01	 5.9585706e+02
 5.2000053e+01	 5.9601312e+02
 5.3000069e+01	 5.9619427e+02
 5.4000187e+01	 5.9648328e+02
 5.5000172e+01	 5.9651245e+02
 5.6000126e+01	 5.9652295e+02
 5.7000072e+01	 5.9651184e+02
 5.8000153e+01	 5.9662286e+02
 5.9000050e+01	 5.9685663e+02
 6.0000069e+01	 5.9689630e+02
 6.1000160e+01	 5.9701715e+02
 6.2000050e+01	 5.9700879e+02
 6.3000099e+01	 5.9705762e+02
 6.4000069e+01	 5.9724811e+02
 6.5000206e+01	 5.9728558e+02
 6.6000069e+01	 5.9748218e+02
 6.7000069e+01	 5.9753558e+02
 6.8000008e+01	 5.9767035e+02
 6.9000237e+01	 5.9777771e+02
 7.0000122e+01	 5.9782880e+02
 7.1000031e+01	 5.9804272e+02
 7.2000282e+01	 5.9815863e+02
 7.3000183e+01	 5.9825232e+02
 7.4000183e+01	 5.9826953e+02
 7.5000305e+01	 5.9824756e+02
 7.6000069e+01	 5.9825891e+02
 7.7000076e+01	 5.9825671e+02
 7.8000130e+01	 5.9841486e+02
 7.9000114e+01	 5.9848663e+02
 8.0000267e+01	 5.9857513e+02
 8.1000061e+01	 5.9859290e+02
 8.2000206e+01	 5.9857678e+02
 8.3000099e+01	 5.9873163e+02
 8.4000252e+01	 5.9880566e+02
 8.5000237e+01	 5.9884930e+02
 8.6000008e+01	 5.9874030e+02
 8.7000046e+01	 5.9878333e+02
 8.8000107e+01	 5.9885620e+02
 8.9000130e+01	 5.9891034e+02
 9.0000092e+01	 5.9902917e+02
 9.1000298e+01	 5.9905548e+02
 9.2000191e+01	 5.9918103e+02
 9.3000099e+01	 5.9920209e+02
 9.4000137e+01	 5.9919598e+02
 9.5000000e+01	 5.9935999e+02
 9.6000092e+01	 5.9943848e+02
 9.7000175e+01	 5.9961084e+02
 9.8000183e+01	 5.9968408e+02
 9.9000107e+01	 5.9973584e+02
 1.0000025e+02	 5.9982489e+02
 1.0100002e+02	 5.9988092e+02
 1.0200014e+02	 5.9998151e+02
 1.0300003e+02	 6.0000543e+02
 1.0400006e+02	 6.0005389e+02
 1.0500019e+02	 6.0005707e+02
 1.0600016e+02	 6.0011688e+02
 1.0700005e+02	 6.0019678e+02
 1.0800005e+02	 6.0021295e+02
 1.0900005e+02	 6.0027582e+02
 1.1000010e+02	 6.0029718e+02
 1.1100005e+02	 6.0036151e+02
 1.1200005e+02	 6.0035889e+02
 1.1300011e+02	 6.0036951e+02
 1.1400004e+02	 6.0044916e+02
 1.1500005e+02	 6.0045685e+02
 1.1600015e+02	 6.0052301e+02
 1.1700007e+02	 6.0053729e+02
 1.1800004e+02	 6.0056775e+02
 1.1900003e+02	 6.0057123e+02
 1.2000007e+02	 6.0056732e+02
 1.2100005e+02	 6.0062061e+02
 1.2200008e+02	 6.0064154e+02
 1.2300022e+02	 6.0069116e+02
 1.2400007e+02	 6.0068665e+02
 1.2500008e+02	 6.0070599e+02
 1.2600005e+02	 6.0076508e+02
 1.2700005e+02	 6.0075360e+02
 1.2800008e+02	 6.0081561e+02
 1.2900026e+02	 6.0080475e+02
 1.3000006e+02	 6.0082477e+02
 1.3100023e+02	 6.0083337e+02
 1.3200002e+02	 6.0087592e+02
 1.3300009e+02	 6.0091187e+02
 1.3400003e+02	 6.0093658e+02
 1.3500020e+02	 6.0096918e+02
 1.3600014e+02	 6.0096930e+02
 1.3700008e+02	 6.0100354e+02
 1.3800002e+02	 6.0106641e+02
 1.3900027e+02	 6.0005127e+02
 1.4000012e+02	 5.9930975e+02
 1.4100006e+02	 5.9887427e+02
 1.4200020e+02	 5.9850195e+02
 1.4300023e+02	 5.9825940e+02
 1.4400017e+02	 5.9804401e+02
 1.4500008e+02	 5.9790680e+02
 1.4600002e+02	 5.9781128e+02
 1.4700005e+02	 5.9772894e+02
 1.4800018e+02	 5.9764209e+02
 1.4900020e+02	 5.9756677e+02
 1.5000011e+02	 5.9749207e+02
 1.5100027e+02	 5.9745349e+02
 1.5200009e+02	 5.9743121e+02
 1.5300018e+02	 5.9741315e+02
 1.5400015e+02	 5.9742688e+02
 1.5500002e+02	 5.9567841e+02
 1.5600008e+02	 5.9403931e+02
 1.5700009e+02	 5.9285754e+02
 1.5800018e+02	 5.9205231e+02
 1.5900018e+02	 5.9141217e+02
 1.6000003e+02	 5.9100043e+02
 1.6100005e+02	 5.9068066e+02
 1.6200008e+02	 5.9043549e+02
 1.6300006e+02	 5.9029431e+02
 1.6400012e+02	 5.8966101e+02
 1.6410002e+02	 6.0429456e+02
 1.6420000e+02	 6.0404620e+02
 1.6430002e+02	 5.9753680e+02
 1.6440001e+02	 5.9947821e+02
 1.6450003e+02	 6.0500159e+02
 1.6460002e+02	 6.0478168e+02
 1.6470001e+02	 6.0605713e+02
 1.6480003e+02	 6.0488910e+02
 1.6490002e+02	 6.0092682e+02
 1.6500003e+02	 6.0099792e+02
 1.6510007e+02	 6.0182629e+02
 1.6520001e+02	 5.9958551e+02
 1.6530002e+02	 5.9920996e+02
 1.6540002e+02	 6.0050934e+02
 1.6550002e+02	 5.9811383e+02
 1.6560004e+02	 6.0084552e+02
 1.6570004e+02	 6.0484222e+02
 1.6580003e+02	 6.0153839e+02
 1.6590004e+02	 6.0158014e+02
 1.6600005e+02	 5.9947949e+02
 1.6610001e+02	 5.9987067e+02
 1.6620007e+02	 5.9952606e+02
 1.6630000e+02	 5.9902185e+02
 1.6640010e+02	 5.9834259e+02
 1.6650000e+02	 5.9830151e+02
 1.6660007e+02	 5.9767303e+02
 1.6670003e+02	 5.9740009e+02
 1.6680000e+02	 5.9744208e+02
 1.6690005e+02	 5.9787738e+02
 1.6700006e+02	 5.9800891e+02
 1.6710001e+02	 5.9780731e+02
 1.6720006e+02	 5.9786731e+02
 1.6730003e+02	 5.9807690e+02
 1.6740001e+02	 5.9924854e+02
 1.6750000e+02	 6.0088550e+02
 1.6760002e+02	 6.0199310e+02
 1.6770000e+02	 6.0290753e+02
 1.6780000e+02	 6.0312543e+02
 1.6790001e+02	 6.0457733e+02
 1.6800005e+02	 6.0805249e+02
 1.6810002e+02	 6.1032147e+02
 1.6820003e+02	 6.1076294e+02
 1.6830003e+02	 6.1389728e+02
 1.6840002e+02	 6.1723187e+02
 1.6850000e+02	 6.2003735e+02
 1.6860008e+02	 6.2202069e+02
 1.6870001e+02	 6.2381854e+02
 1.6880006e+02	 6.2504523e+02
 1.6890001e+02	 6.2588965e+02
 1.6900002e+02	 6.2688165e+02
 1.6910005e+02	 6.2788391e+02
 1.6920010e+02	 6.2853033e+02
 1.6930003e+02	 6.2902399e+02
 1.6940005e+02	 6.2970483e+02
