Time(s)	PK(50,56)
 0.0000000e+00	 1.6000000e+05
 1.0005618e+00	 1.8695414e+05
 2.0000894e+00	 1.9272938e+05
 3.0001235e+00	 1.9888653e+05
 4.0000744e+00	 2.0772242e+05
 5.0000405e+00	 2.1182822e+05
 6.0000234e+00	 2.1372562e+05
 7.0002379e+00	 2.1465336e+05
 8.0000887e+00	 2.1589114e+05
 9.0000124e+00	 2.1670817e+05
 1.0000108e+01	 2.1682738e+05
 1.1000061e+01	 2.1695731e+05
 1.2000055e+01	 2.1736128e+05
 1.3000238e+01	 2.1766797e+05
 1.4000112e+01	 2.1782005e+05
 1.5000147e+01	 2.1822422e+05
 1.6000036e+01	 2.1845956e+05
 1.7000031e+01	 2.1873583e+05
 1.8000051e+01	 2.1893936e+05
 1.9000219e+01	 2.1896055e+05
 2.0000223e+01	 2.1924206e+05
 2.1000031e+01	 2.1946467e+05
 2.2000093e+01	 2.1958980e+05
 2.3000038e+01	 2.1975752e+05
 2.4000010e+01	 2.1986144e+05
 2.5000067e+01	 2.1991728e+05
 2.6000111e+01	 2.1987733e+05
 2.7000292e+01	 2.2017888e+05
 2.8000111e+01	 2.2031953e+05
 2.9000072e+01	 2.2043631e+05
 3.0000034e+01	 2.2048956e+05
 3.1000008e+01	 2.2053930e+05
 3.2000217e+01	 2.2069761e+05
 3.3000145e+01	 2.2082388e+05
 3.4000019e+01	 2.2094327e+05
 3.5000225e+01	 2.2105400e+05
 3.6000263e+01	 2.2108483e+05
 3.7000000e+01	 2.2108261e+05
 3.8000050e+01	 2.2108298e+05
 3.9000404e+01	 2.2137073e+05
 4.0000118e+01	 2.2151084e+05
 4.1000126e+01	 2.2164236e+05
 4.2000221e+01	 2.2171017e+05
 4.3000244e+01	 2.2162644e+05
 4.4000210e+01	 2.2176881e+05
 4.5000088e+01	 2.2189042e+05
 4.6000092e+01	 2.2195752e+05
 4.7000141e+01	 2.2205517e+05
 4.8000240e+01	 2.2207464e+05
 4.9000008e+01	 2.2219283e+05
 5.0000221e+01	 2.2210711e+05
 5.1000072e+01	 2.2224709e+05
 5.2000053e+01	 2.2245130e+05
 5.3000069e+01	 2.2249875e+05
 5.4000187e+01	 2.2259656e+05
 5.5000172e+01	 2.2259541e+05
 5.6000126e+01	 2.2260197e+05
 5.7000072e+01	 2.2258105e+05
 5.8000153e+01	 2.2281228e+05
 5.9000050e+01	 2.2292731e+05
 6.0000069e+01	 2.2298911e+05
 6.1000160e+01	 2.2301169e+05
 6.2000050e+01	 2.2294808e+05
 6.3000099e+01	 2.2308145e+05
 6.4000069e+01	 2.2312617e+05
 6.5000206e+01	 2.2327334e+05
 6.6000069e+01	 2.2334644e+05
 6.7000069e+01	 2.2334416e+05
 6.8000008e+01	 2.2340270e+05
 6.9000237e+01	 2.2333241e+05
 7.0000122e+01	 2.2351380e+05
 7.1000031e+01	 2.2366667e+05
 7.2000282e+01	 2.2371125e+05
