Time(s)	RBGK5(1,24)	RBGK5(2,24)	RBGK5(3,24)
 0.0000000e+00	 8.7080693e-01	 8.7080693e-01	 8.7080693e-01
 1.0005618e+00	 1.7911234e+02	 1.7910068e+02	 1.7909590e+02
 2.0000894e+00	 1.7915030e+02	 1.7914891e+02	 1.7914537e+02
 3.0001235e+00	 1.7914655e+02	 1.7914540e+02	 1.7914272e+02
 4.0000744e+00	 1.7914670e+02	 1.7914496e+02	 1.7913963e+02
 5.0000405e+00	 1.7913976e+02	 1.7913913e+02	 1.7913629e+02
 6.0000234e+00	 1.7913126e+02	 1.7913078e+02	 1.7912904e+02
 7.0002379e+00	 1.7912254e+02	 1.7912206e+02	 1.7912047e+02
 8.0000887e+00	 1.7911359e+02	 1.7911304e+02	 1.7911153e+02
 9.0000124e+00	 1.7910512e+02	 1.7910406e+02	 1.7910228e+02
 1.0000108e+01	 1.7909795e+02	 1.7909604e+02	 1.7909317e+02
 1.1000061e+01	 1.7909077e+02	 1.7908856e+02	 1.7908461e+02
 1.2000055e+01	 1.7908292e+02	 1.7908092e+02	 1.7907648e+02
 1.3000238e+01	 1.7907434e+02	 1.7907269e+02	 1.7906841e+02
 1.4000112e+01	 1.7906522e+02	 1.7906389e+02	 1.7906013e+02
 1.5000147e+01	 1.7905574e+02	 1.7905467e+02	 1.7905148e+02
 1.6000036e+01	 1.7904605e+02	 1.7904515e+02	 1.7904248e+02
 1.7000031e+01	 1.7903621e+02	 1.7903543e+02	 1.7903317e+02
 1.8000051e+01	 1.7902628e+02	 1.7902559e+02	 1.7902364e+02
 1.9000219e+01	 1.7901627e+02	 1.7901566e+02	 1.7901395e+02
 2.0000223e+01	 1.7900623e+02	 1.7900565e+02	 1.7900410e+02
 2.1000031e+01	 1.7899619e+02	 1.7899561e+02	 1.7899419e+02
 2.2000093e+01	 1.7898627e+02	 1.7898555e+02	 1.7898418e+02
 2.3000038e+01	 1.7897632e+02	 1.7897552e+02	 1.7897414e+02
 2.4000010e+01	 1.7896634e+02	 1.7896548e+02	 1.7896407e+02
 2.5000067e+01	 1.7895630e+02	 1.7895544e+02	 1.7895399e+02
 2.6000111e+01	 1.7894618e+02	 1.7894536e+02	 1.7894391e+02
 2.7000292e+01	 1.7893599e+02	 1.7893524e+02	 1.7893382e+02
 2.8000111e+01	 1.7892584e+02	 1.7892509e+02	 1.7892371e+02
 2.9000072e+01	 1.7891570e+02	 1.7891493e+02	 1.7891357e+02
 3.0000034e+01	 1.7890553e+02	 1.7890475e+02	 1.7890343e+02
 3.1000008e+01	 1.7889534e+02	 1.7889458e+02	 1.7889326e+02
 3.2000217e+01	 1.7888512e+02	 1.7888437e+02	 1.7888309e+02
 3.3000145e+01	 1.7887485e+02	 1.7887413e+02	 1.7887289e+02
 3.4000019e+01	 1.7886455e+02	 1.7886388e+02	 1.7886269e+02
 3.5000225e+01	 1.7885422e+02	 1.7885359e+02	 1.7885246e+02
 3.6000263e+01	 1.7884387e+02	 1.7884329e+02	 1.7884221e+02
 3.7000000e+01	 1.7883351e+02	 1.7883298e+02	 1.7883195e+02
 3.8000050e+01	 1.7882314e+02	 1.7882263e+02	 1.7882169e+02
 3.9000404e+01	 1.7881273e+02	 1.7881227e+02	 1.7881139e+02
 4.0000118e+01	 1.7880234e+02	 1.7880190e+02	 1.7880107e+02
 4.1000126e+01	 1.7879193e+02	 1.7879152e+02	 1.7879074e+02
 4.2000221e+01	 1.7878152e+02	 1.7878113e+02	 1.7878040e+02
 4.3000244e+01	 1.7877112e+02	 1.7877072e+02	 1.7877005e+02
 4.4000210e+01	 1.7876070e+02	 1.7876031e+02	 1.7875967e+02
 4.5000088e+01	 1.7875027e+02	 1.7874991e+02	 1.7874931e+02
 4.6000092e+01	 1.7873984e+02	 1.7873949e+02	 1.7873892e+02
 4.7000141e+01	 1.7872940e+02	 1.7872906e+02	 1.7872853e+02
 4.8000240e+01	 1.7871896e+02	 1.7871863e+02	 1.7871812e+02
 4.9000008e+01	 1.7870853e+02	 1.7870821e+02	 1.7870772e+02
 5.0000221e+01	 1.7869807e+02	 1.7869777e+02	 1.7869730e+02
 5.1000072e+01	 1.7868762e+02	 1.7868732e+02	 1.7868687e+02
 5.2000053e+01	 1.7867717e+02	 1.7867688e+02	 1.7867645e+02
 5.3000069e+01	 1.7866672e+02	 1.7866643e+02	 1.7866602e+02
 5.4000187e+01	 1.7865625e+02	 1.7865598e+02	 1.7865558e+02
 5.5000172e+01	 1.7864578e+02	 1.7864552e+02	 1.7864514e+02
 5.6000126e+01	 1.7863533e+02	 1.7863506e+02	 1.7863470e+02
 5.7000072e+01	 1.7862486e+02	 1.7862460e+02	 1.7862425e+02
 5.8000153e+01	 1.7861440e+02	 1.7861414e+02	 1.7861380e+02
 5.9000050e+01	 1.7860393e+02	 1.7860367e+02	 1.7860335e+02
 6.0000069e+01	 1.7859346e+02	 1.7859320e+02	 1.7859290e+02
 6.1000160e+01	 1.7858299e+02	 1.7858273e+02	 1.7858243e+02
 6.2000050e+01	 1.7857253e+02	 1.7857227e+02	 1.7857198e+02
 6.3000099e+01	 1.7856206e+02	 1.7856180e+02	 1.7856151e+02
 6.4000069e+01	 1.7855157e+02	 1.7855133e+02	 1.7855104e+02
 6.5000206e+01	 1.7854111e+02	 1.7854085e+02	 1.7854057e+02
 6.6000069e+01	 1.7853064e+02	 1.7853038e+02	 1.7853011e+02
 6.7000069e+01	 1.7852016e+02	 1.7851990e+02	 1.7851962e+02
 6.8000008e+01	 1.7850967e+02	 1.7850943e+02	 1.7850916e+02
 6.9000237e+01	 1.7849921e+02	 1.7849895e+02	 1.7849869e+02
 7.0000122e+01	 1.7848872e+02	 1.7848846e+02	 1.7848820e+02
 7.1000031e+01	 1.7847824e+02	 1.7847798e+02	 1.7847774e+02
 7.2000282e+01	 1.7846776e+02	 1.7846750e+02	 1.7846725e+02
 7.3000183e+01	 1.7845728e+02	 1.7845702e+02	 1.7845677e+02
 7.4000183e+01	 1.7844679e+02	 1.7844653e+02	 1.7844629e+02
 7.5000305e+01	 1.7843631e+02	 1.7843605e+02	 1.7843581e+02
 7.6000069e+01	 1.7842583e+02	 1.7842557e+02	 1.7842534e+02
 7.7000076e+01	 1.7841534e+02	 1.7841508e+02	 1.7841486e+02
 7.8000130e+01	 1.7840485e+02	 1.7840460e+02	 1.7840437e+02
 7.9000114e+01	 1.7839436e+02	 1.7839410e+02	 1.7839388e+02
 8.0000267e+01	 1.7838387e+02	 1.7838362e+02	 1.7838339e+02
 8.1000061e+01	 1.7837338e+02	 1.7837314e+02	 1.7837291e+02
 8.2000206e+01	 1.7836288e+02	 1.7836264e+02	 1.7836243e+02
 8.3000099e+01	 1.7835240e+02	 1.7835216e+02	 1.7835193e+02
 8.4000252e+01	 1.7834190e+02	 1.7834166e+02	 1.7834145e+02
 8.5000237e+01	 1.7833142e+02	 1.7833116e+02	 1.7833096e+02
 8.6000008e+01	 1.7832092e+02	 1.7832068e+02	 1.7832047e+02
 8.7000046e+01	 1.7831042e+02	 1.7831018e+02	 1.7830998e+02
 8.8000107e+01	 1.7829993e+02	 1.7829968e+02	 1.7829948e+02
 8.9000130e+01	 1.7828943e+02	 1.7828920e+02	 1.7828899e+02
 9.0000092e+01	 1.7827895e+02	 1.7827870e+02	 1.7827850e+02
 9.1000298e+01	 1.7826843e+02	 1.7826820e+02	 1.7826801e+02
 9.2000191e+01	 1.7825795e+02	 1.7825771e+02	 1.7825751e+02
 9.3000099e+01	 1.7824745e+02	 1.7824721e+02	 1.7824701e+02
 9.4000137e+01	 1.7823694e+02	 1.7823671e+02	 1.7823651e+02
 9.5000000e+01	 1.7822644e+02	 1.7822621e+02	 1.7822603e+02
 9.6000092e+01	 1.7821594e+02	 1.7821571e+02	 1.7821553e+02
 9.7000175e+01	 1.7820544e+02	 1.7820522e+02	 1.7820503e+02
 9.8000183e+01	 1.7819495e+02	 1.7819470e+02	 1.7819453e+02
 9.9000107e+01	 1.7818445e+02	 1.7818420e+02	 1.7818402e+02
 1.0000025e+02	 1.7817393e+02	 1.7817371e+02	 1.7817352e+02
 1.0100002e+02	 1.7816528e+02	 1.7816504e+02	 1.7816487e+02
 1.0200014e+02	 1.7815662e+02	 1.7815639e+02	 1.7815620e+02
 1.0300003e+02	 1.7814795e+02	 1.7814772e+02	 1.7814755e+02
 1.0400006e+02	 1.7813928e+02	 1.7813905e+02	 1.7813889e+02
 1.0500019e+02	 1.7813062e+02	 1.7813039e+02	 1.7813022e+02
 1.0600016e+02	 1.7812195e+02	 1.7812172e+02	 1.7812157e+02
 1.0700005e+02	 1.7811330e+02	 1.7811307e+02	 1.7811290e+02
 1.0800005e+02	 1.7810463e+02	 1.7810440e+02	 1.7810423e+02
 1.0900005e+02	 1.7809596e+02	 1.7809573e+02	 1.7809557e+02
 1.1000010e+02	 1.7808730e+02	 1.7808707e+02	 1.7808690e+02
 1.1100005e+02	 1.7807863e+02	 1.7807840e+02	 1.7807825e+02
 1.1200005e+02	 1.7806995e+02	 1.7806973e+02	 1.7806958e+02
 1.1300011e+02	 1.7806128e+02	 1.7806107e+02	 1.7806091e+02
 1.1400004e+02	 1.7805261e+02	 1.7805240e+02	 1.7805225e+02
 1.1500005e+02	 1.7804395e+02	 1.7804373e+02	 1.7804358e+02
 1.1600015e+02	 1.7803528e+02	 1.7803505e+02	 1.7803491e+02
 1.1700007e+02	 1.7802661e+02	 1.7802638e+02	 1.7802625e+02
 1.1800004e+02	 1.7801793e+02	 1.7801772e+02	 1.7801758e+02
 1.1900003e+02	 1.7800926e+02	 1.7800905e+02	 1.7800891e+02
 1.2000007e+02	 1.7800060e+02	 1.7800038e+02	 1.7800023e+02
 1.2100005e+02	 1.7799191e+02	 1.7799170e+02	 1.7799156e+02
 1.2200008e+02	 1.7798325e+02	 1.7798303e+02	 1.7798289e+02
 1.2300022e+02	 1.7797456e+02	 1.7797437e+02	 1.7797423e+02
 1.2400007e+02	 1.7796590e+02	 1.7796568e+02	 1.7796556e+02
 1.2500008e+02	 1.7795723e+02	 1.7795702e+02	 1.7795688e+02
 1.2600005e+02	 1.7794855e+02	 1.7794835e+02	 1.7794821e+02
 1.2700005e+02	 1.7793988e+02	 1.7793967e+02	 1.7793954e+02
 1.2800008e+02	 1.7793120e+02	 1.7793100e+02	 1.7793088e+02
 1.2900026e+02	 1.7792252e+02	 1.7792232e+02	 1.7792220e+02
 1.3000006e+02	 1.7791385e+02	 1.7791365e+02	 1.7791353e+02
 1.3100023e+02	 1.7790517e+02	 1.7790497e+02	 1.7790485e+02
 1.3200002e+02	 1.7789650e+02	 1.7789630e+02	 1.7789618e+02
 1.3300009e+02	 1.7788782e+02	 1.7788762e+02	 1.7788750e+02
 1.3400003e+02	 1.7787914e+02	 1.7787895e+02	 1.7787883e+02
 1.3500020e+02	 1.7787045e+02	 1.7787027e+02	 1.7787015e+02
