Time(s)	TGK(3,40)	TGK(4,40)	TGK(5,40)
 0.0000000e+00	 5.4100000e+02	 6.0300000e+02	 6.0300000e+02
 1.0005618e+00	 5.6351794e+02	 6.0300000e+02	 6.0300000e+02
 2.0000894e+00	 5.6581525e+02	 6.0300000e+02	 6.0300000e+02
 3.0001235e+00	 5.6596313e+02	 6.0300000e+02	 6.0300000e+02
 4.0000744e+00	 5.6345013e+02	 6.0300000e+02	 6.0300000e+02
 5.0000405e+00	 5.6419617e+02	 6.0300000e+02	 6.0300000e+02
 6.0000234e+00	 5.6335620e+02	 6.0300000e+02	 6.0300000e+02
 7.0002379e+00	 5.6314777e+02	 6.0300000e+02	 6.0300000e+02
 8.0000887e+00	 5.6371631e+02	 6.0300000e+02	 6.0300000e+02
 9.0000124e+00	 5.6383899e+02	 6.0300000e+02	 6.0300000e+02
 1.0000108e+01	 5.6380609e+02	 6.0300000e+02	 6.0300000e+02
 1.1000061e+01	 5.6413672e+02	 6.0300000e+02	 6.0300000e+02
 1.2000055e+01	 5.6426300e+02	 6.0300000e+02	 6.0300000e+02
 1.3000238e+01	 5.6439722e+02	 6.0300000e+02	 6.0300000e+02
 1.4000112e+01	 5.6540735e+02	 6.0300000e+02	 6.0300000e+02
 1.5000147e+01	 5.6493555e+02	 6.0300000e+02	 6.0300000e+02
 1.6000036e+01	 5.6365515e+02	 6.0300000e+02	 6.0300000e+02
 1.7000031e+01	 5.6508844e+02	 6.0300000e+02	 6.0300000e+02
 1.8000051e+01	 5.6587427e+02	 6.0300000e+02	 6.0300000e+02
 1.9000219e+01	 5.6598871e+02	 6.0300000e+02	 6.0300000e+02
 2.0000223e+01	 5.6583734e+02	 6.0300000e+02	 6.0300000e+02
 2.1000031e+01	 5.6562488e+02	 6.0300000e+02	 6.0300000e+02
 2.2000093e+01	 5.6546698e+02	 6.0300000e+02	 6.0300000e+02
 2.3000038e+01	 5.6536188e+02	 6.0300000e+02	 6.0300000e+02
 2.4000010e+01	 5.6529602e+02	 6.0300000e+02	 6.0300000e+02
 2.5000067e+01	 5.6526074e+02	 6.0300000e+02	 6.0300000e+02
 2.6000111e+01	 5.6524786e+02	 6.0300000e+02	 6.0300000e+02
 2.7000292e+01	 5.6525031e+02	 6.0300000e+02	 6.0300000e+02
 2.8000111e+01	 5.6526740e+02	 6.0300000e+02	 6.0300000e+02
 2.9000072e+01	 5.6529785e+02	 6.0300000e+02	 6.0300000e+02
 3.0000034e+01	 5.6533685e+02	 6.0300000e+02	 6.0300000e+02
 3.1000008e+01	 5.6537799e+02	 6.0300000e+02	 6.0300000e+02
 3.2000217e+01	 5.6541107e+02	 6.0300000e+02	 6.0300000e+02
 3.3000145e+01	 5.6543024e+02	 6.0300000e+02	 6.0300000e+02
 3.4000019e+01	 5.6543097e+02	 6.0300000e+02	 6.0300000e+02
 3.5000225e+01	 5.6541010e+02	 6.0300000e+02	 6.0300000e+02
 3.6000263e+01	 5.6537860e+02	 6.0300000e+02	 6.0300000e+02
 3.7000000e+01	 5.6534283e+02	 6.0300000e+02	 6.0300000e+02
 3.8000050e+01	 5.6530713e+02	 6.0300000e+02	 6.0300000e+02
 3.9000404e+01	 5.6527484e+02	 6.0300000e+02	 6.0300000e+02
 4.0000118e+01	 5.6524792e+02	 6.0300000e+02	 6.0300000e+02
 4.1000126e+01	 5.6522662e+02	 6.0300000e+02	 6.0300000e+02
 4.2000221e+01	 5.6521008e+02	 6.0300000e+02	 6.0300000e+02
 4.3000244e+01	 5.6519727e+02	 6.0300000e+02	 6.0300000e+02
 4.4000210e+01	 5.6518689e+02	 6.0300000e+02	 6.0300000e+02
 4.5000088e+01	 5.6517780e+02	 6.0300000e+02	 6.0300000e+02
 4.6000092e+01	 5.6516913e+02	 6.0300000e+02	 6.0300000e+02
 4.7000141e+01	 5.6516022e+02	 6.0300000e+02	 6.0300000e+02
 4.8000240e+01	 5.6515094e+02	 6.0300000e+02	 6.0300000e+02
 4.9000008e+01	 5.6514124e+02	 6.0300000e+02	 6.0300000e+02
 5.0000221e+01	 5.6513141e+02	 6.0300000e+02	 6.0300000e+02
 5.1000072e+01	 5.6512183e+02	 6.0300000e+02	 6.0300000e+02
 5.2000053e+01	 5.6511273e+02	 6.0300000e+02	 6.0300000e+02
 5.3000069e+01	 5.6510443e+02	 6.0300000e+02	 6.0300000e+02
 5.4000187e+01	 5.6509705e+02	 6.0300000e+02	 6.0300000e+02
 5.5000172e+01	 5.6509033e+02	 6.0300000e+02	 6.0300000e+02
 5.6000126e+01	 5.6508459e+02	 6.0300000e+02	 6.0300000e+02
 5.7000072e+01	 5.6508026e+02	 6.0300000e+02	 6.0300000e+02
 5.8000153e+01	 5.6507709e+02	 6.0300000e+02	 6.0300000e+02
 5.9000050e+01	 5.6507513e+02	 6.0300000e+02	 6.0300000e+02
 6.0000069e+01	 5.6507428e+02	 6.0300000e+02	 6.0300000e+02
 6.1000160e+01	 5.6507404e+02	 6.0300000e+02	 6.0300000e+02
 6.2000050e+01	 5.6507404e+02	 6.0300000e+02	 6.0300000e+02
 6.3000099e+01	 5.6507416e+02	 6.0300000e+02	 6.0300000e+02
 6.4000069e+01	 5.6507434e+02	 6.0300000e+02	 6.0300000e+02
 6.5000206e+01	 5.6507440e+02	 6.0300000e+02	 6.0300000e+02
 6.6000069e+01	 5.6507446e+02	 6.0300000e+02	 6.0300000e+02
 6.7000069e+01	 5.6507483e+02	 6.0300000e+02	 6.0300000e+02
 6.8000008e+01	 5.6507489e+02	 6.0300000e+02	 6.0300000e+02
 6.9000237e+01	 5.6507495e+02	 6.0300000e+02	 6.0300000e+02
 7.0000122e+01	 5.6507513e+02	 6.0300000e+02	 6.0300000e+02
 7.1000031e+01	 5.6507532e+02	 6.0300000e+02	 6.0300000e+02
 7.2000282e+01	 5.6507581e+02	 6.0300000e+02	 6.0300000e+02
 7.3000183e+01	 5.6507581e+02	 6.0300000e+02	 6.0300000e+02
 7.4000183e+01	 5.6507568e+02	 6.0300000e+02	 6.0300000e+02
 7.5000305e+01	 5.6507495e+02	 6.0300000e+02	 6.0300000e+02
 7.6000069e+01	 5.6507330e+02	 6.0300000e+02	 6.0300000e+02
 7.7000076e+01	 5.6507086e+02	 6.0300000e+02	 6.0300000e+02
 7.8000130e+01	 5.6506799e+02	 6.0300000e+02	 6.0300000e+02
 7.9000114e+01	 5.6506433e+02	 6.0300000e+02	 6.0300000e+02
 8.0000267e+01	 5.6506049e+02	 6.0300000e+02	 6.0300000e+02
 8.1000061e+01	 5.6505701e+02	 6.0300000e+02	 6.0300000e+02
 8.2000206e+01	 5.6505341e+02	 6.0300000e+02	 6.0300000e+02
 8.3000099e+01	 5.6505029e+02	 6.0300000e+02	 6.0300000e+02
 8.4000252e+01	 5.6504791e+02	 6.0300000e+02	 6.0300000e+02
 8.5000237e+01	 5.6504559e+02	 6.0300000e+02	 6.0300000e+02
 8.6000008e+01	 5.6504352e+02	 6.0300000e+02	 6.0300000e+02
