Time(s)	TGK(50,19)
 0.0000000e+00	 5.6800000e+02
 1.0005618e+00	 4.5256766e+02
 2.0000894e+00	 4.5254715e+02
 3.0001235e+00	 4.5253256e+02
 4.0000744e+00	 4.5251794e+02
 5.0000405e+00	 4.5250336e+02
 6.0000234e+00	 4.5248877e+02
 7.0002379e+00	 4.5247418e+02
 8.0000887e+00	 4.5245959e+02
 9.0000124e+00	 4.5244501e+02
 1.0000108e+01	 4.5243042e+02
 1.1000061e+01	 4.5241583e+02
 1.2000055e+01	 4.5240125e+02
 1.3000238e+01	 4.5238666e+02
 1.4000112e+01	 4.5237207e+02
 1.5000147e+01	 4.5235751e+02
 1.6000036e+01	 4.5234293e+02
 1.7000031e+01	 4.5232834e+02
 1.8000051e+01	 4.5231378e+02
 1.9000219e+01	 4.5229919e+02
 2.0000223e+01	 4.5228464e+02
 2.1000031e+01	 4.5227005e+02
 2.2000093e+01	 4.5225549e+02
 2.3000038e+01	 4.5224094e+02
 2.4000010e+01	 4.5222635e+02
 2.5000067e+01	 4.5221179e+02
 2.6000111e+01	 4.5219724e+02
 2.7000292e+01	 4.5218268e+02
 2.8000111e+01	 4.5216812e+02
 2.9000072e+01	 4.5215356e+02
 3.0000034e+01	 4.5213901e+02
 3.1000008e+01	 4.5212445e+02
 3.2000217e+01	 4.5210989e+02
 3.3000145e+01	 4.5209534e+02
 3.4000019e+01	 4.5208081e+02
 3.5000225e+01	 4.5206625e+02
 3.6000263e+01	 4.5205170e+02
 3.7000000e+01	 4.5203717e+02
 3.8000050e+01	 4.5202261e+02
 3.9000404e+01	 4.5200809e+02
 4.0000118e+01	 4.5199356e+02
 4.1000126e+01	 4.5197900e+02
 4.2000221e+01	 4.5196448e+02
 4.3000244e+01	 4.5194995e+02
 4.4000210e+01	 4.5193542e+02
 4.5000088e+01	 4.5192090e+02
 4.6000092e+01	 4.5190637e+02
 4.7000141e+01	 4.5189185e+02
 4.8000240e+01	 4.5187732e+02
 4.9000008e+01	 4.5186279e+02
 5.0000221e+01	 4.5184827e+02
 5.1000072e+01	 4.5183374e+02
 5.2000053e+01	 4.5181924e+02
 5.3000069e+01	 4.5180472e+02
 5.4000187e+01	 4.5179019e+02
 5.5000172e+01	 4.5177570e+02
 5.6000126e+01	 4.5176120e+02
 5.7000072e+01	 4.5174667e+02
 5.8000153e+01	 4.5173218e+02
 5.9000050e+01	 4.5171768e+02
 6.0000069e+01	 4.5170316e+02
 6.1000160e+01	 4.5168866e+02
 6.2000050e+01	 4.5167416e+02
 6.3000099e+01	 4.5165967e+02
 6.4000069e+01	 4.5164517e+02
 6.5000206e+01	 4.5163068e+02
 6.6000069e+01	 4.5161618e+02
 6.7000069e+01	 4.5160172e+02
 6.8000008e+01	 4.5158722e+02
 6.9000237e+01	 4.5157272e+02
 7.0000122e+01	 4.5155826e+02
 7.1000031e+01	 4.5154376e+02
 7.2000282e+01	 4.5152930e+02
 7.3000183e+01	 4.5151480e+02
 7.4000183e+01	 4.5150034e+02
 7.5000305e+01	 4.5148584e+02
 7.6000069e+01	 4.5147137e+02
 7.7000076e+01	 4.5145691e+02
 7.8000130e+01	 4.5144244e+02
 7.9000114e+01	 4.5142798e+02
 8.0000267e+01	 4.5141351e+02
 8.1000061e+01	 4.5139905e+02
 8.2000206e+01	 4.5138458e+02
 8.3000099e+01	 4.5137012e+02
 8.4000252e+01	 4.5135565e+02
 8.5000237e+01	 4.5134122e+02
 8.6000008e+01	 4.5132675e+02
 8.7000046e+01	 4.5131232e+02
 8.8000107e+01	 4.5129785e+02
 8.9000130e+01	 4.5128342e+02
 9.0000092e+01	 4.5126895e+02
 9.1000298e+01	 4.5125452e+02
 9.2000191e+01	 4.5124005e+02
 9.3000099e+01	 4.5122562e+02
 9.4000137e+01	 4.5121118e+02
 9.5000000e+01	 4.5119675e+02
 9.6000092e+01	 4.5118231e+02
 9.7000175e+01	 4.5116788e+02
 9.8000183e+01	 4.5115344e+02
 9.9000107e+01	 4.5113901e+02
 1.0000025e+02	 4.5112457e+02
 1.0100002e+02	 4.5111258e+02
 1.0200014e+02	 4.5110056e+02
 1.0300003e+02	 4.5108856e+02
 1.0400006e+02	 4.5107654e+02
 1.0500019e+02	 4.5106451e+02
 1.0600016e+02	 4.5105249e+02
 1.0700005e+02	 4.5104047e+02
 1.0800005e+02	 4.5102844e+02
 1.0900005e+02	 4.5101639e+02
 1.1000010e+02	 4.5100436e+02
 1.1100005e+02	 4.5099231e+02
 1.1200005e+02	 4.5098026e+02
 1.1300011e+02	 4.5096823e+02
 1.1400004e+02	 4.5095618e+02
 1.1500005e+02	 4.5094409e+02
 1.1600015e+02	 4.5093204e+02
 1.1700007e+02	 4.5091998e+02
 1.1800004e+02	 4.5090790e+02
 1.1900003e+02	 4.5089584e+02
 1.2000007e+02	 4.5088376e+02
 1.2100005e+02	 4.5087167e+02
 1.2200008e+02	 4.5085959e+02
 1.2300022e+02	 4.5084750e+02
 1.2400007e+02	 4.5083542e+02
 1.2500008e+02	 4.5082333e+02
 1.2600005e+02	 4.5081122e+02
 1.2700005e+02	 4.5079913e+02
 1.2800008e+02	 4.5078702e+02
 1.2900026e+02	 4.5077490e+02
 1.3000006e+02	 4.5076279e+02
 1.3100023e+02	 4.5075067e+02
 1.3200002e+02	 4.5073856e+02
 1.3300009e+02	 4.5072644e+02
 1.3400003e+02	 4.5071432e+02
 1.3500020e+02	 4.5070218e+02
 1.3600014e+02	 4.5069006e+02
 1.3700008e+02	 4.5067792e+02
 1.3800002e+02	 4.5066577e+02
 1.3900027e+02	 4.5065363e+02
 1.4000012e+02	 4.5064148e+02
 1.4100006e+02	 4.5062933e+02
 1.4200020e+02	 4.5061716e+02
 1.4300023e+02	 4.5060501e+02
 1.4400017e+02	 4.5059283e+02
 1.4500008e+02	 4.5058069e+02
 1.4600002e+02	 4.5056851e+02
 1.4700005e+02	 4.5055634e+02
 1.4800018e+02	 4.5054416e+02
 1.4900020e+02	 4.5053198e+02
