Time(s)	TLK3(3,40)	TLK3(4,40)	TLK3(5,40)
 0.0000000e+00	 2.7316000e+02	 2.7316135e+02	 2.7316135e+02
 1.0005618e+00	 5.6315570e+02	 2.7316000e+02	 2.7316000e+02
 2.0000894e+00	 5.6328351e+02	 2.7316000e+02	 2.7316000e+02
 3.0001235e+00	 5.6322125e+02	 2.7316000e+02	 2.7316000e+02
 4.0000744e+00	 5.6299707e+02	 2.7316000e+02	 2.7316000e+02
 5.0000405e+00	 5.6304034e+02	 2.7316000e+02	 2.7316000e+02
 6.0000234e+00	 5.6329553e+02	 2.7316000e+02	 2.7316000e+02
 7.0002379e+00	 5.6302954e+02	 2.7316000e+02	 2.7316000e+02
 8.0000887e+00	 5.6339258e+02	 2.7316000e+02	 2.7316000e+02
 9.0000124e+00	 5.6381818e+02	 2.7316000e+02	 2.7316000e+02
 1.0000108e+01	 5.6378058e+02	 2.7316000e+02	 2.7316000e+02
 1.1000061e+01	 5.6399084e+02	 2.7316000e+02	 2.7316000e+02
 1.2000055e+01	 5.6429053e+02	 2.7316000e+02	 2.7316000e+02
 1.3000238e+01	 5.6451715e+02	 2.7316000e+02	 2.7316000e+02
 1.4000112e+01	 5.6477295e+02	 2.7316000e+02	 2.7316000e+02
 1.5000147e+01	 5.6515692e+02	 2.7316000e+02	 2.7316000e+02
 1.6000036e+01	 5.6502625e+02	 2.7316000e+02	 2.7316000e+02
 1.7000031e+01	 5.6516742e+02	 2.7316000e+02	 2.7316000e+02
 1.8000051e+01	 5.6540417e+02	 2.7316000e+02	 2.7316000e+02
 1.9000219e+01	 5.6548785e+02	 2.7316000e+02	 2.7316000e+02
 2.0000223e+01	 5.6555121e+02	 2.7316000e+02	 2.7316000e+02
 2.1000031e+01	 5.6555737e+02	 2.7316000e+02	 2.7316000e+02
 2.2000093e+01	 5.6554333e+02	 2.7316000e+02	 2.7316000e+02
 2.3000038e+01	 5.6552679e+02	 2.7316000e+02	 2.7316000e+02
 2.4000010e+01	 5.6550861e+02	 2.7316000e+02	 2.7316000e+02
 2.5000067e+01	 5.6548944e+02	 2.7316000e+02	 2.7316000e+02
 2.6000111e+01	 5.6546295e+02	 2.7316000e+02	 2.7316000e+02
 2.7000292e+01	 5.6519031e+02	 2.7316000e+02	 2.7316000e+02
 2.8000111e+01	 5.6445905e+02	 2.7316000e+02	 2.7316000e+02
 2.9000072e+01	 5.6397174e+02	 2.7316000e+02	 2.7316000e+02
 3.0000034e+01	 5.6392596e+02	 2.7316000e+02	 2.7316000e+02
 3.1000008e+01	 5.6395325e+02	 2.7316000e+02	 2.7316000e+02
 3.2000217e+01	 5.6394489e+02	 2.7316000e+02	 2.7316000e+02
 3.3000145e+01	 5.6398993e+02	 2.7316000e+02	 2.7316000e+02
 3.4000019e+01	 5.6401801e+02	 2.7316000e+02	 2.7316000e+02
 3.5000225e+01	 5.6402319e+02	 2.7316000e+02	 2.7316000e+02
 3.6000263e+01	 5.6401099e+02	 2.7316000e+02	 2.7316000e+02
 3.7000000e+01	 5.6399121e+02	 2.7316000e+02	 2.7316000e+02
 3.8000050e+01	 5.6396661e+02	 2.7316000e+02	 2.7316000e+02
 3.9000404e+01	 5.6396161e+02	 2.7316000e+02	 2.7316000e+02
 4.0000118e+01	 5.6386633e+02	 2.7316000e+02	 2.7316000e+02
 4.1000126e+01	 5.6386609e+02	 2.7316000e+02	 2.7316000e+02
 4.2000221e+01	 5.6387177e+02	 2.7316000e+02	 2.7316000e+02
 4.3000244e+01	 5.6388098e+02	 2.7316000e+02	 2.7316000e+02
 4.4000210e+01	 5.6389117e+02	 2.7316000e+02	 2.7316000e+02
 4.5000088e+01	 5.6389874e+02	 2.7316000e+02	 2.7316000e+02
 4.6000092e+01	 5.6390527e+02	 2.7316000e+02	 2.7316000e+02
 4.7000141e+01	 5.6390961e+02	 2.7316000e+02	 2.7316000e+02
 4.8000240e+01	 5.6391119e+02	 2.7316000e+02	 2.7316000e+02
 4.9000008e+01	 5.6391034e+02	 2.7316000e+02	 2.7316000e+02
 5.0000221e+01	 5.6390765e+02	 2.7316000e+02	 2.7316000e+02
 5.1000072e+01	 5.6390393e+02	 2.7316000e+02	 2.7316000e+02
 5.2000053e+01	 5.6389990e+02	 2.7316000e+02	 2.7316000e+02
 5.3000069e+01	 5.6389600e+02	 2.7316000e+02	 2.7316000e+02
 5.4000187e+01	 5.6389294e+02	 2.7316000e+02	 2.7316000e+02
 5.5000172e+01	 5.6389087e+02	 2.7316000e+02	 2.7316000e+02
 5.6000126e+01	 5.6389038e+02	 2.7316000e+02	 2.7316000e+02
 5.7000072e+01	 5.6389197e+02	 2.7316000e+02	 2.7316000e+02
 5.8000153e+01	 5.6389557e+02	 2.7316000e+02	 2.7316000e+02
 5.9000050e+01	 5.6390082e+02	 2.7316000e+02	 2.7316000e+02
 6.0000069e+01	 5.6390753e+02	 2.7316000e+02	 2.7316000e+02
 6.1000160e+01	 5.6391522e+02	 2.7316000e+02	 2.7316000e+02
 6.2000050e+01	 5.6392328e+02	 2.7316000e+02	 2.7316000e+02
 6.3000099e+01	 5.6393164e+02	 2.7316000e+02	 2.7316000e+02
 6.4000069e+01	 5.6393982e+02	 2.7316000e+02	 2.7316000e+02
 6.5000206e+01	 5.6394775e+02	 2.7316000e+02	 2.7316000e+02
 6.6000069e+01	 5.6395532e+02	 2.7316000e+02	 2.7316000e+02
 6.7000069e+01	 5.6396210e+02	 2.7316000e+02	 2.7316000e+02
 6.8000008e+01	 5.6396741e+02	 2.7316000e+02	 2.7316000e+02
 6.9000237e+01	 5.6397260e+02	 2.7316000e+02	 2.7316000e+02
 7.0000122e+01	 5.6397803e+02	 2.7316000e+02	 2.7316000e+02
 7.1000031e+01	 5.6398346e+02	 2.7316000e+02	 2.7316000e+02
 7.2000282e+01	 5.6398920e+02	 2.7316000e+02	 2.7316000e+02
 7.3000183e+01	 5.6399359e+02	 2.7316000e+02	 2.7316000e+02
 7.4000183e+01	 5.6399817e+02	 2.7316000e+02	 2.7316000e+02
 7.5000305e+01	 5.6400256e+02	 2.7316000e+02	 2.7316000e+02
 7.6000069e+01	 5.6400366e+02	 2.7316000e+02	 2.7316000e+02
 7.7000076e+01	 5.6400470e+02	 2.7316000e+02	 2.7316000e+02
 7.8000130e+01	 5.6400574e+02	 2.7316000e+02	 2.7316000e+02
 7.9000114e+01	 5.6400586e+02	 2.7316000e+02	 2.7316000e+02
 8.0000267e+01	 5.6400568e+02	 2.7316000e+02	 2.7316000e+02
 8.1000061e+01	 5.6400562e+02	 2.7316000e+02	 2.7316000e+02
 8.2000206e+01	 5.6400574e+02	 2.7316000e+02	 2.7316000e+02
 8.3000099e+01	 5.6400629e+02	 2.7316000e+02	 2.7316000e+02
 8.4000252e+01	 5.6400769e+02	 2.7316000e+02	 2.7316000e+02
 8.5000237e+01	 5.6400946e+02	 2.7316000e+02	 2.7316000e+02
 8.6000008e+01	 5.6401147e+02	 2.7316000e+02	 2.7316000e+02
 8.7000046e+01	 5.6401379e+02	 2.7316000e+02	 2.7316000e+02
 8.8000107e+01	 5.6401569e+02	 2.7316000e+02	 2.7316000e+02
 8.9000130e+01	 5.6401721e+02	 2.7316000e+02	 2.7316000e+02
 9.0000092e+01	 5.6401794e+02	 2.7316000e+02	 2.7316000e+02
 9.1000298e+01	 5.6401752e+02	 2.7316000e+02	 2.7316000e+02
 9.2000191e+01	 5.6401636e+02	 2.7316000e+02	 2.7316000e+02
 9.3000099e+01	 5.6401123e+02	 2.7316000e+02	 2.7316000e+02
 9.4000137e+01	 5.6400806e+02	 2.7316000e+02	 2.7316000e+02
